Pengambilan Data clean
02:05:51.398 -> ESP-ROM:esp32s3-20210327
02:05:51.398 -> temp,hum,gas,label
02:05:51.398 -> 28.20,95.00,697,0
02:05:52.375 -> 28.20,95.00,687,0
02:05:54.370 -> 28.20,95.00,687,0
02:05:56.360 -> 28.20,95.00,683,0
02:05:58.384 -> 28.20,95.00,691,0
02:06:00.349 -> 28.20,95.00,687,0
02:06:02.401 -> 28.20,95.00,686,0
02:06:04.368 -> 28.20,95.00,687,0
02:06:06.357 -> 28.20,95.00,691,0
02:06:08.375 -> 28.20,95.00,690,0
02:06:10.382 -> 28.20,95.00,688,0
02:06:12.369 -> 28.20,95.00,686,0
02:06:14.367 -> 28.20,95.00,687,0
02:06:16.348 -> 28.20,95.00,691,0
02:06:18.368 -> 28.20,95.00,687,0
02:06:20.371 -> 28.20,95.00,685,0
02:06:22.388 -> 28.20,95.00,686,0
02:06:24.377 -> 28.20,95.00,684,0
02:06:26.378 -> 28.20,95.00,685,0
02:06:28.359 -> 28.20,95.00,686,0
02:06:30.375 -> 28.20,95.00,687,0
02:06:32.368 -> 28.20,95.00,687,0
02:06:34.386 -> 28.20,95.00,681,0
02:06:36.364 -> 28.20,95.00,686,0
02:06:38.376 -> 28.20,95.00,686,0
02:06:40.376 -> 28.20,95.00,685,0
02:06:42.358 -> 28.20,95.00,686,0
02:06:44.364 -> 28.20,95.00,683,0
02:06:46.375 -> 28.20,95.00,687,0
02:06:48.348 -> 28.20,95.00,685,0
02:06:50.349 -> 28.20,95.00,685,0
02:06:52.348 -> 28.20,95.00,685,0
02:06:54.349 -> 28.20,95.00,685,0
02:06:56.367 -> 28.20,95.00,685,0
02:06:58.387 -> 28.20,95.00,687,0
02:07:00.377 -> 28.20,95.00,683,0
02:07:02.352 -> 28.20,95.00,684,0
02:07:04.364 -> 28.20,95.00,685,0
02:07:06.394 -> 28.20,95.00,684,0
02:07:08.372 -> 28.20,95.00,687,0
02:07:10.377 -> 28.20,95.00,684,0
02:07:12.387 -> 28.20,95.00,685,0
02:07:14.352 -> 28.20,95.00,684,0
